,street_number,street_name,neighborhood,city,postal_code,lon,lat,HUNDRED_BLOCK,count,address
1,10100,King George Boulevard,Whalley,Surrey,V3T 2W4,-122.845107,49.186183,10100 KING GEORGE BLVD,3426,10100 KING GEORGE BLVD Surrey
2,10310,152 Street,Guildford,Surrey,V3R 4G8,-122.8003366,49.189509,10300 152ND ST,2835,10300 152ND ST Surrey
3,10239,King George Boulevard,Whalley,Surrey,V3T 2W6,-122.8453333,49.1888249,10300 KING GEORGE BLVD,2437,10300 KING GEORGE BLVD Surrey
4,Northbound King George Blvd @ 74 Ave,Newton,Surrey,Greater Vancouver,V3W 0H9,-122.8452509,49.1386685,7500 KING GEORGE BLVD,2391,7500 KING GEORGE BLVD Surrey
5,14585,104 Avenue,Guildford,Surrey,V3R 1M1,-122.8179264,49.1914921,14600 104TH AVE,1677,14600 104TH AVE Surrey
6,7401,King George Boulevard,Newton,Surrey,V3W 5A8,-122.8456096,49.1372179,7400 KING GEORGE BLVD,1201,7400 KING GEORGE BLVD Surrey
7,10700,King George Boulevard,Whalley,Surrey,V3T 2X3,-122.8448779,49.1970511,10700 KING GEORGE BLVD,972,10700 KING GEORGE BLVD Surrey
8,12510,110 Avenue,South Westminster,Surrey,V3V 3J8,-122.8759358,49.2026455,12500 110TH AVE,899,12500 110TH AVE Surrey
9,159,104 Avenue,Guildford,Surrey,V3R 6Y8,-122.8008149,49.1914539,10400 152ND ST,890,10400 152ND ST Surrey
10,15177,North Bluff Road,Surrey,Greater Vancouver,V4A,-122.8011601,49.0311693,1600 152ND ST,830,1600 152ND ST Surrey
11,7300,King George Boulevard,Newton,Surrey,V3W 1A4,-122.8437746,49.1348662,7300 KING GEORGE BLVD,731,7300 KING GEORGE BLVD Surrey
12,10210,King George Boulevard,Whalley,Surrey,V3T 2W5,-122.8453711,49.1878884,10200 KING GEORGE BLVD,697,10200 KING GEORGE BLVD Surrey
13,11002,126A Street,South Westminster,Surrey,V3V 3J7,-122.8722417,49.2026373,12700 110TH AVE,626,12700 110TH AVE Surrey
14,Eastbound 88 Ave @ 12400 Block,Newton,Surrey,Greater Vancouver,V3W 3Y1,-122.8783778,49.1631434,12400 88TH AVE,533,12400 88TH AVE Surrey
15,8900,152 Street,Surrey,Greater Vancouver,V3R 4E4,-122.8008336,49.1646724,8900 152ND ST,525,8900 152ND ST Surrey
16,16010,24 Avenue,Surrey,Greater Vancouver,V3S 9N6,-122.7787511,49.0448018,2300 160TH ST,507,2300 160TH ST Surrey
17,2383,153 Street,Surrey,Greater Vancouver,V4A 4R3,-122.7984129,49.0455623,15300 24TH AVE,483,15300 24TH AVE Surrey
18,152 St FS Fraser Hwy,Surrey,Greater Vancouver,British Columbia,V3R,-122.8014029,49.1660884,9000 152ND ST,451,9000 152ND ST Surrey
19,9710,Fraser Highway,Whalley,Surrey,V3T 2V6,-122.8455116,49.1801408,9800 KING GEORGE BLVD,446,9800 KING GEORGE BLVD Surrey
20,13700,96 Avenue,Surrey,Greater Vancouver,V3V 1Z2,-122.8440048,49.1764539,13700 96TH AVE,433,13700 96TH AVE Surrey
21,1700,152 Street,Surrey,Greater Vancouver,V4A 4N3,-122.8008042,49.0330731,1700 152ND ST,417,1700 152ND ST Surrey
22,7102,138 Street,Newton,Surrey,V3W 7V8,-122.8383346,49.1315751,7100 138TH ST,412,7100 138TH ST Surrey
