"","lon","lat","HUNDRED_BLOCK","count","address"
"1",-122.845107,49.186183,"10100 KING GEORGE BLVD",3426,"10100 KING GEORGE BLVD Surrey"
"2",-122.8003366,49.189509,"10300 152ND ST",2835,"10300 152ND ST Surrey"
"3",-122.8453333,49.1888249,"10300 KING GEORGE BLVD",2437,"10300 KING GEORGE BLVD Surrey"
"4",-122.8452509,49.1386685,"7500 KING GEORGE BLVD",2391,"7500 KING GEORGE BLVD Surrey"
"5",-122.8179264,49.1914921,"14600 104TH AVE",1677,"14600 104TH AVE Surrey"
"6",-122.8456096,49.1372179,"7400 KING GEORGE BLVD",1201,"7400 KING GEORGE BLVD Surrey"
"7",-122.8448779,49.1970511,"10700 KING GEORGE BLVD",972,"10700 KING GEORGE BLVD Surrey"
"8",-122.8759358,49.2026455,"12500 110TH AVE",899,"12500 110TH AVE Surrey"
"9",-122.8008149,49.1914539,"10400 152ND ST",890,"10400 152ND ST Surrey"
"10",-122.8011601,49.0311693,"1600 152ND ST",830,"1600 152ND ST Surrey"
"11",-122.8437746,49.1348662,"7300 KING GEORGE BLVD",731,"7300 KING GEORGE BLVD Surrey"
"12",-122.8453711,49.1878884,"10200 KING GEORGE BLVD",697,"10200 KING GEORGE BLVD Surrey"
"13",-122.8722417,49.2026373,"12700 110TH AVE",626,"12700 110TH AVE Surrey"
"14",-122.8783778,49.1631434,"12400 88TH AVE",533,"12400 88TH AVE Surrey"
"15",-122.8008336,49.1646724,"8900 152ND ST",525,"8900 152ND ST Surrey"
"16",-122.7787511,49.0448018,"2300 160TH ST",507,"2300 160TH ST Surrey"
"17",-122.7984129,49.0455623,"15300 24TH AVE",483,"15300 24TH AVE Surrey"
"18",-122.8014029,49.1660884,"9000 152ND ST",451,"9000 152ND ST Surrey"
"19",-122.8455116,49.1801408,"9800 KING GEORGE BLVD",446,"9800 KING GEORGE BLVD Surrey"
"20",-122.8440048,49.1764539,"13700 96TH AVE",433,"13700 96TH AVE Surrey"
"21",-122.8008042,49.0330731,"1700 152ND ST",417,"1700 152ND ST Surrey"
"22",-122.8383346,49.1315751,"7100 138TH ST",412,"7100 138TH ST Surrey"
"23",-122.8902894,49.1620162,"12000 NORDEL WAY",395,"12000 NORDEL WAY Surrey"
"24",-122.887856,49.1619013,"12100 NORDEL WAY",361,"12100 NORDEL WAY Surrey"
"25",-122.8881943,49.13403,"12100 72ND AVE",354,"12100 72ND AVE Surrey"
"26",-122.7562358,49.1787007,"9800 168TH ST",347,"9800 168TH ST Surrey"
"27",-122.7822889,49.1583767,"15900 FRASER HWY",326,"15900 FRASER HWY Surrey"
"28",-122.8456329,49.1279477,"6900 KING GEORGE BLVD",322,"6900 KING GEORGE BLVD Surrey"
"29",-122.8680917,49.1771265,"12800 96TH AVE",320,"12800 96TH AVE Surrey"
"30",-122.8011097,49.0563807,"3000 152ND ST",292,"3000 152ND ST Surrey"
"31",-122.8510407,49.202303,"13400 KING GEORGE BLVD",290,"13400 KING GEORGE BLVD Surrey"
"32",-122.8847738,49.2057238,"12200 KING GEORGE BLVD",284,"12200 KING GEORGE BLVD Surrey"
"33",-122.7985645,49.1647272,"15300 FRASER HWY",284,"15300 FRASER HWY Surrey"
"34",-122.8449284,49.1955123,"10600 KING GEORGE BLVD",283,"10600 KING GEORGE BLVD Surrey"
"35",-122.8455282,49.1334851,"72ND AVE / KING GEORGE BLVD",267,"72ND AVE / KING GEORGE BLVD Surrey"
"36",-122.8477133,49.1885524,"10200 CITY PKWY",259,"10200 CITY PKWY Surrey"
"37",-122.8542119,49.1888419,"13300 102A AVE",259,"13300 102A AVE Surrey"
"38",-122.8501501,49.1885207,"13400 102ND AVE",252,"13400 102ND AVE Surrey"
"39",-122.7847513,49.0462056,"15700 CROYDON DR",251,"15700 CROYDON DR Surrey"
"40",-122.8457214,49.1628028,"88TH AVE / KING GEORGE BLVD",247,"88TH AVE / KING GEORGE BLVD Surrey"
"41",-122.8487967,49.1989026,"10800 CITY PKWY",246,"10800 CITY PKWY Surrey"
"42",-122.8675209,49.1736188,"9400 128TH ST",245,"9400 128TH ST Surrey"
"43",-122.8203034,49.0678002,"3600 KING GEORGE BLVD",242,"3600 KING GEORGE BLVD Surrey"
"44",-122.8014265,49.1628895,"8800 152ND ST",241,"8800 152ND ST Surrey"
"45",-122.8679761,49.1499273,"8100 128TH ST",240,"8100 128TH ST Surrey"
"46",-122.8063386,49.1942492,"10600 150TH ST",229,"10600 150TH ST Surrey"
"47",-122.8457116,49.162704,"13700 88TH AVE",229,"13700 88TH AVE Surrey"
"48",-122.8240329,49.1062987,"14300 57TH AVE",225,"14300 57TH AVE Surrey"
"49",-122.8452331,49.191554,"104TH AVE / KING GEORGE BLVD",224,"104TH AVE / KING GEORGE BLVD Surrey"
"50",-122.7264465,49.0384345,"17900 20TH AVE",223,"17900 20TH AVE Surrey"
"51",-122.732194,49.118608,"17700 64TH AVE",222,"17700 64TH AVE Surrey"
"52",-122.7324022,49.103497,"17700 56TH AVE",221,"17700 56TH AVE Surrey"
"53",-122.7037479,49.1245047,"18700 FRASER HWY",220,"18700 FRASER HWY Surrey"
"54",-122.8364158,49.1969949,"10700 139TH ST",217,"10700 139TH ST Surrey"
"55",-122.765237,49.1517237,"16500 FRASER HWY",215,"16500 FRASER HWY Surrey"
"56",-122.8453551,49.1878104,"13600 102ND AVE",213,"13600 102ND AVE Surrey"
"57",-122.8014026,49.1659895,"152ND ST / FRASER HWY",205,"152ND ST / FRASER HWY Surrey"
"58",-122.7828065,49.0491961,"15800 26TH AVE",205,"15800 26TH AVE Surrey"
"59",-122.8452261,49.1934629,"10500 KING GEORGE BLVD",202,"10500 KING GEORGE BLVD Surrey"
"60",-122.853667,49.191512,"13300 104TH AVE",198,"13300 104TH AVE Surrey"
"61",-122.842711,49.1875817,"10200 WHALLEY BLVD",197,"10200 WHALLEY BLVD Surrey"
"62",-122.8057234,49.1860231,"15000 101ST AVE",190,"15000 101ST AVE Surrey"
"63",-122.853708,49.186603,"13300 OLD YALE RD",184,"13300 OLD YALE RD Surrey"
"64",-122.8372997,49.1795024,"13900 FRASER HWY",183,"13900 FRASER HWY Surrey"
"65",-122.7350051,49.104125,"5600 176TH ST",179,"5600 176TH ST Surrey"
"66",-122.8199983,49.081711,"4600 KING GEORGE BLVD",177,"4600 KING GEORGE BLVD Surrey"
"67",-122.7070247,49.1257801,"18600 FRASER HWY",172,"18600 FRASER HWY Surrey"
"68",-122.8048093,49.1967817,"10700 150TH ST",169,"10700 150TH ST Surrey"
"69",-122.8456164,49.1190038,"64TH AVE / KING GEORGE BLVD",168,"64TH AVE / KING GEORGE BLVD Surrey"
"70",-122.8680917,49.1771265,"128TH ST / 96TH AVE",165,"128TH ST / 96TH AVE Surrey"
"71",-122.8427847,49.1335284,"13700 72ND AVE",162,"13700 72ND AVE Surrey"
"72",-122.8674453,49.1535222,"8300 128TH ST",161,"8300 128TH ST Surrey"
"73",-122.8679718,49.1771275,"9500 128TH ST",161,"9500 128TH ST Surrey"
"74",-122.8680917,49.1771265,"96TH AVE / 128TH ST",161,"96TH AVE / 128TH ST Surrey"
"75",-122.8096789,49.1061596,"14900 57TH AVE",160,"14900 57TH AVE Surrey"
"76",-122.8011739,49.1045154,"152ND ST / 56TH AVE",159,"152ND ST / 56TH AVE Surrey"
"77",-122.8456282,49.1407871,"76TH AVE / KING GEORGE BLVD",159,"76TH AVE / KING GEORGE BLVD Surrey"
"78",-122.8736383,49.1334415,"12600 72ND AVE",158,"12600 72ND AVE Surrey"
"79",-122.8456401,49.1770793,"96TH AVE / KING GEORGE BLVD",158,"96TH AVE / KING GEORGE BLVD Surrey"
"80",-122.8047627,49.1881597,"1000 GUILDFORD TOWN CTR",157,"1000 GUILDFORD TOWN CTR Surrey"
"81",-122.8452331,49.191554,"10400 KING GEORGE BLVD",156,"10400 KING GEORGE BLVD Surrey"
"82",-122.8010616,49.1191135,"152ND ST / 64TH AVE",156,"152ND ST / 64TH AVE Surrey"
"83",-122.890264,49.1351027,"7300 120TH ST",156,"7300 120TH ST Surrey"
"84",-122.8453983,49.1840948,"10000 KING GEORGE BLVD",152,"10000 KING GEORGE BLVD Surrey"
"85",-122.8036268,49.1987383,"15100 108TH AVE",150,"15100 108TH AVE Surrey"
"86",-122.8680816,49.1482197,"128TH ST / 80TH AVE",149,"128TH ST / 80TH AVE Surrey"
"87",-122.7935855,49.0455311,"15500 24TH AVE",149,"15500 24TH AVE Surrey"
