"","X1","X1_1","street_number","street_name","neighborhood","city","HUNDRED_BLOCK","count","address","postal_code","ID","district","lon","lat"
"1",1,1,"10100","King George Boulevard","Whalley","Surrey","10100 KING GEORGE BLVD",3426,"10100 KING GEORGE BLVD Surrey","V3T 2W4",91,"Whalley (NA)",-122.845107,49.186183
"2",2,2,"10310","152 Street","Guildford","Surrey","10300 152ND ST",2835,"10300 152ND ST Surrey","V3R 4G8",22,"Guildford (Johnson Heights)",-122.8003366,49.189509
"3",3,3,"10239","King George Boulevard","Whalley","Surrey","10300 KING GEORGE BLVD",2437,"10300 KING GEORGE BLVD Surrey","V3T 2W6",255,"Whalley (NA)",-122.8453333,49.1888249
"4",4,3,"10239","King George Boulevard","Whalley","Surrey","10300 KING GEORGE BLVD",2437,"10300 KING GEORGE BLVD Surrey","V3T 2W6",255,"Whalley (NA)",-122.8453333,49.1888249
"5",5,4,"Northbound King George Blvd @ 74 Ave","Newton","Surrey","Greater Vancouver","7500 KING GEORGE BLVD",2391,"7500 KING GEORGE BLVD Surrey","V3W 0H9",114,"Newton (NA)",-122.8452509,49.1386685
"6",6,5,"14585","104 Avenue","Guildford","Surrey","14600 104TH AVE",1677,"14600 104TH AVE Surrey","V3R 1M1",86,"Guildford (NA)",-122.8179264,49.1914921
"7",7,5,"14585","104 Avenue","Guildford","Surrey","14600 104TH AVE",1677,"14600 104TH AVE Surrey","V3R 1M1",86,"Guildford (NA)",-122.8179264,49.1914921
"8",8,6,"7401","King George Boulevard","Newton","Surrey","7400 KING GEORGE BLVD",1201,"7400 KING GEORGE BLVD Surrey","V3W 5A8",114,"Newton (NA)",-122.8456096,49.1372179
"9",9,7,"10700","King George Boulevard","Whalley","Surrey","10700 KING GEORGE BLVD",972,"10700 KING GEORGE BLVD Surrey","V3T 2X3",77,"Whalley (NA)",-122.8448779,49.1970511
"10",10,8,"12510","110 Avenue","South Westminster","Surrey","12500 110TH AVE",899,"12500 110TH AVE Surrey","V3V 3J8",239,"South Westminster (NA)",-122.8759358,49.2026455
"11",11,9,"159","104 Avenue","Guildford","Surrey","10400 152ND ST",890,"10400 152ND ST Surrey","V3R 6Y8",23,"Guildford (Johnson Heights)",-122.8008149,49.1914539
"12",12,10,"15177","North Bluff Road","Surrey","Greater Vancouver","1600 152ND ST",830,"1600 152ND ST Surrey","V4A",NA,"NA",-122.8011601,49.0311693
"13",13,11,"7300","King George Boulevard","Newton","Surrey","7300 KING GEORGE BLVD",731,"7300 KING GEORGE BLVD Surrey","V3W 1A4",303,"Newton (NA)",-122.8437746,49.1348662
"14",14,12,"10210","King George Boulevard","Whalley","Surrey","10200 KING GEORGE BLVD",697,"10200 KING GEORGE BLVD Surrey","V3T 2W5",255,"Whalley (NA)",-122.8453711,49.1878884
"15",15,12,"10210","King George Boulevard","Whalley","Surrey","10200 KING GEORGE BLVD",697,"10200 KING GEORGE BLVD Surrey","V3T 2W5",255,"Whalley (NA)",-122.8453711,49.1878884
"16",16,13,"11002","126A Street","South Westminster","Surrey","12700 110TH AVE",626,"12700 110TH AVE Surrey","V3V 3J7",239,"South Westminster (NA)",-122.8722417,49.2026373
"17",17,14,"Eastbound 88 Ave @ 12400 Block","Newton","Surrey","Greater Vancouver","12400 88TH AVE",533,"12400 88TH AVE Surrey","V3W 3Y1",223,"Newton (NA)",-122.8783778,49.1631434
"18",18,15,"8900","152 Street","Surrey","Greater Vancouver","8900 152ND ST",525,"8900 152ND ST Surrey","V3R 4E4",140,"NA",-122.8008336,49.1646724
"19",19,16,"16010","24 Avenue","Surrey","Greater Vancouver","2300 160TH ST",507,"2300 160TH ST Surrey","V3S 9N6",595,"NA",-122.7787511,49.0448018
"20",20,17,"2383","153 Street","Surrey","Greater Vancouver","15300 24TH AVE",483,"15300 24TH AVE Surrey","V4A 4R3",414,"NA",-122.7984129,49.0455623
"21",21,18,"152 St FS Fraser Hwy","Surrey","Greater Vancouver","British Columbia","9000 152ND ST",451,"9000 152ND ST Surrey","V3R",482,"NA",-122.8014029,49.1660884
"22",22,19,"9710","Fraser Highway","Whalley","Surrey","9800 KING GEORGE BLVD",446,"9800 KING GEORGE BLVD Surrey","V3T 2V6",258,"Whalley (NA)",-122.8455116,49.1801408
"23",23,20,"13700","96 Avenue","Surrey","Greater Vancouver","13700 96TH AVE",433,"13700 96TH AVE Surrey","V3V 1Z2",522,"NA",-122.8440048,49.1764539
"24",24,21,"1700","152 Street","Surrey","Greater Vancouver","1700 152ND ST",417,"1700 152ND ST Surrey","V4A 4N3",421,"NA",-122.8008042,49.0330731
"25",25,21,"1700","152 Street","Surrey","Greater Vancouver","1700 152ND ST",417,"1700 152ND ST Surrey","V4A 4N3",421,"NA",-122.8008042,49.0330731
"26",26,22,"7102","138 Street","Newton","Surrey","7100 138TH ST",412,"7100 138TH ST Surrey","V3W 7V8",475,"Newton (NA)",-122.8383346,49.1315751
"27",27,23,"Nordel Way FS Scott Rd","Greater Vancouver","British Columbia","Canada","12000 NORDEL WAY",395,"12000 NORDEL WAY Surrey","Canada",NA,"Newton (NA)",-122.8902894,49.1620162
"28",28,24,"12110","Nordel Way","Newton","Surrey","12100 NORDEL WAY",361,"12100 NORDEL WAY Surrey","V3W 1P6",223,"Newton (NA)",-122.887856,49.1619013
"29",29,25,"12077 B","72 Avenue","Newton","Surrey","12100 72ND AVE",354,"12100 72ND AVE Surrey","V3W 2M1",206,"Newton (Strawberry Hill)",-122.8881943,49.13403
"30",30,26,"9705","168 Street","Surrey","Greater Vancouver","9800 168TH ST",347,"9800 168TH ST Surrey","V4N 2E1",1,"NA",-122.7562358,49.1787007
"31",31,27,"15980","Fraser Highway","Surrey","Greater Vancouver","15900 FRASER HWY",326,"15900 FRASER HWY Surrey","V3S 2W4",159,"NA",-122.7822889,49.1583767
"32",32,28,"6894","King George Boulevard","Newton","Surrey","6900 KING GEORGE BLVD",322,"6900 KING GEORGE BLVD Surrey","V3W 4Z9",299,"Newton (NA)",-122.8456329,49.1279477
"33",33,29,"128 St FS 96 Ave","Surrey","Greater Vancouver","British Columbia","12800 96TH AVE",320,"12800 96TH AVE Surrey","V3V 6A8",267,"NA",-122.8680917,49.1771265
"34",34,30,"3012","152 Street","Surrey","Greater Vancouver","3000 152ND ST",292,"3000 152ND ST Surrey","V4P 3N7",409,"NA",-122.8011097,49.0563807
"35",35,30,"3012","152 Street","Surrey","Greater Vancouver","3000 152ND ST",292,"3000 152ND ST Surrey","V4P 3N7",409,"NA",-122.8011097,49.0563807
"36",36,31,"13402","King George Boulevard","Whalley","Surrey","13400 KING GEORGE BLVD",290,"13400 KING GEORGE BLVD Surrey","V3T 2T8",67,"Whalley (Bridgeview)",-122.8510407,49.202303
"37",37,32,"12190","King George Boulevard","Surrey","Greater Vancouver","12200 KING GEORGE BLVD",284,"12200 KING GEORGE BLVD Surrey","V3V 3K2",239,"NA",-122.8847738,49.2057238
