"","long_name","short_name"
"1","10100","10100"
"2","King George Boulevard","King George Blvd"
"3","Whalley","Whalley"
"4","Surrey","Surrey"
"5","Greater Vancouver","Greater Vancouver"
"6","British Columbia","BC"
"7","Canada","CA"
"8","V3T 2W4","V3T 2W4"
"9","10310","10310"
"10","152 Street","152 St"
"11","Guildford","Guildford"
"12","Surrey","Surrey"
"13","Greater Vancouver","Greater Vancouver"
"14","British Columbia","BC"
"15","Canada","CA"
"16","V3R 4G8","V3R 4G8"
"17","10239","10239"
"18","King George Boulevard","King George Blvd"
"19","Whalley","Whalley"
"20","Surrey","Surrey"
"21","Greater Vancouver","Greater Vancouver"
"22","British Columbia","BC"
"23","Canada","CA"
"24","V3T 2W6","V3T 2W6"
"25","Northbound King George Blvd @ 74 Ave","Northbound King George Blvd @ 74 Ave"
"26","Newton","Newton"
"27","Surrey","Surrey"
"28","Greater Vancouver","Greater Vancouver"
"29","British Columbia","BC"
"30","Canada","CA"
"31","V3W 0H9","V3W 0H9"
"32","14585","14585"
"33","104 Avenue","104 Ave"
"34","Guildford","Guildford"
"35","Surrey","Surrey"
"36","Greater Vancouver","Greater Vancouver"
"37","British Columbia","BC"
"38","Canada","CA"
"39","V3R 1M1","V3R 1M1"
"40","7401","7401"
"41","King George Boulevard","King George Blvd"
"42","Newton","Newton"
"43","Surrey","Surrey"
"44","Greater Vancouver","Greater Vancouver"
"45","British Columbia","BC"
"46","Canada","CA"
"47","V3W 5A8","V3W 5A8"
"48","10700","10700"
"49","King George Boulevard","King George Blvd"
"50","Whalley","Whalley"
"51","Surrey","Surrey"
"52","Greater Vancouver","Greater Vancouver"
"53","British Columbia","BC"
"54","Canada","CA"
"55","V3T 2X3","V3T 2X3"
"56","12510","12510"
"57","110 Avenue","110 Ave"
"58","South Westminster","South Westminster"
"59","Surrey","Surrey"
"60","Greater Vancouver","Greater Vancouver"
"61","British Columbia","BC"
"62","Canada","CA"
"63","V3V 3J8","V3V 3J8"
"64","159","159"
"65","104 Avenue","104 Ave"
"66","Guildford","Guildford"
"67","Surrey","Surrey"
"68","Greater Vancouver","Greater Vancouver"
"69","British Columbia","BC"
"70","Canada","CA"
"71","V3R 6Y8","V3R 6Y8"
"72","15177","15177"
"73","North Bluff Road","North Bluff Rd"
"74","Surrey","Surrey"
"75","Greater Vancouver","Greater Vancouver"
"76","British Columbia","BC"
"77","Canada","CA"
"78","V4A","V4A"
"79","7300","7300"
"80","King George Boulevard","King George Blvd"
"81","Newton","Newton"
"82","Surrey","Surrey"
"83","Greater Vancouver","Greater Vancouver"
"84","British Columbia","BC"
"85","Canada","CA"
"86","V3W 1A4","V3W 1A4"
"87","10210","10210"
"88","King George Boulevard","King George Blvd"
"89","Whalley","Whalley"
"90","Surrey","Surrey"
"91","Greater Vancouver","Greater Vancouver"
"92","British Columbia","BC"
"93","Canada","CA"
"94","V3T 2W5","V3T 2W5"
"95","11002","11002"
"96","126A Street","126a St"
"97","South Westminster","South Westminster"
"98","Surrey","Surrey"
"99","Greater Vancouver","Greater Vancouver"
"100","British Columbia","BC"
"101","Canada","CA"
"102","V3V 3J7","V3V 3J7"
